II	Севак Паруйр	561		
II	Солоухин Владимир	569		
II	Старшинов Николай	573		
II	Туркин Владимир	578		
II	Хазри Наби	582		
II	Челидзе Отар	587		
II	Винокуров Евгений	603		
II	Джусуев Сооронбай	611		
II	Жалсараев Дамба	613		
II	Квливидзе Михаил	614		
II	Пассар Андрей	618		
II	Халваши Фридон	619		
II	Исаев Егор	623		
II	Заднипру Петру	629		
II	Лиснянская Инна	632		
II	Рашидов Рашид	633		
II	Соколов Владимир	634		
II	Сулейманова Гулчехра	640		
II	Курбаннепесов Керим	645		
II	Нишнианидзе Шота	647		
II	Павлычко Дмитро	650		
II	Рошка Агнесса	656		
II	Шестинский Олег	658		
II	Юсупов Ибрагим	662		
II	Гордейчев Владимир	667		
II	Жигулин Анатолий	668		
II	Малдонис Альфонсас	675		
II	Марцинкявичус Юстинас	678		
II	Поцхишвили Морис	682		
II	Горбовский Глеб	690		
II	Машбаш Исхак	693		
II	Сумманен Тайсто	694		
II	Дамдннов Николай	696		
II	Казакова Римма	698		
II	Каноат Мумин	703		
II	Куняев Станислав	706		
II	Лапцуй Леонид	710		
II	Рождественский Роберт	711		
II	Цыбин Владимир	718		
II	Бациетис Ояр	728		
II	Вознесенский Андрей	733		
II	Дурян Людвиг	740		
II	Евтушенко Евгений	743		
II	Зиедонис Имант	751		
II	Карачобан Дмитрий	752		
II	Микаэлян Нансен	753		
II	Телеукэ Виктор	754		
II	Чиладзе Отар	756		
II	Зумакулова Танзиля	759		
II	Щипахина Людмила	759		
II	Матвеева Новелла	760		
II	Рыскулов Рамис	764		
II	Бородулин Рыгор	766	768	
II	Виеру Григоре	768		
II	Годжа Фикрет	771		
II	Дамиан Ливиу	773		
II	Олейник Борис	774		
II	Сайги Владимир	778		
II	Бахидов Эркин	781		
II	Ветемаа Энн	782		
II	Драч Иван	784		
II	Коротич Виталий	788		
II	Кушнер Александр	792		
II	Рубцов Николай	796		
II	Саакян Арамис	799		
II	Сулейменов Олжас	801		
II	Улзытуев Дондок	806		
II	Дмитриев Олег	817		
II	Коянто Владимир	819		
II	Мориц Юнна	820		
II	Фирсов Владимир	824		
II	Фокина Ольга	829		
II	Шесталов Юван	832		
II	Кымытваль Антонина	836		
II	Шкляревский Игорь	836		
II	Немтушкин Алитет	838		
II	Чухонцев Олег	839		
II	Чаклайс Марис	841		
II	Каплински Яан	846		
II	Кузнецов Юрий	847		
II	Шерали Лоик	849		
II	Руммо Пауль Эрик	852		
II	Файзуллин Равиль	853		
